fire_id,cause_id,agency_id,time_id,collection_method,acres_burned,shape_area,shape_length,duration_days
16303,14,2,7322,,233.0135,1387796.7734375,5268.34699618659,
16304,14,1,7282,,226.3171,1337724.8359375,4843.73845121416,
16305,14,2,7302,,217.9086,1294314.453125,6387.14449371907,
16306,14,3,904,,209.4139,1258284.8125,4543.25256191721,
16307,1,3,7323,,205.3755,1465863.5859375,5219.07231630617,
16308,14,1,7324,,197.8833,1344613.39453125,4736.15264587397,
16309,9,3,904,,175.28,1254783.71875,6099.00208549777,
16310,14,2,7325,,173.8923,1040251.1015625,5226.99509211102,
16311,14,1,7326,,168.5258,1175522.984375,6619.84595118579,
16312,9,3,904,,166.8959,1054364.64453125,4681.61603833202,
16313,14,1,7327,,164.464,1114085.2578125,5411.80496604724,
16314,9,3,904,,162.4053,1128470.07421875,5893.28883928969,
16315,14,3,904,,159.7063,1056632.58203125,4480.35266569076,
16316,14,2,7317,,150.3426,890336.09765625,4901.52949983862,
16317,1,3,7321,,146.3515,1051981.64453125,4838.26643820463,
16318,14,1,7328,,139.7145,823725.50390625,5445.87666301998,
16319,14,2,7325,,134.1766,799049.35546875,3901.3698611925,
16320,1,3,904,,128.2431,739641.19140625,4241.23932689963,
16321,14,2,7325,,125.7388,749402.796875,3839.01394554628,
16322,3,3,7329,,122.4561,810441.44921875,6464.47466483067,
16323,14,3,904,,118.3718,701774.8984375,3475.52909081905,
16324,14,1,7330,,117.8358,698254.67578125,3636.30355406335,
16325,1,3,7291,,116.7435,842097.6015625,4294.59107224962,
16326,14,3,904,,113.7039,674502.12109375,3722.6965548367,
16327,14,2,7331,,112.8472,662569.5546875,3869.17425154931,
16328,9,3,904,,96.94378,556806.3359375,3486.37114801995,
16329,14,3,904,,83.49579,494111.796875,3354.51528033026,
16330,14,2,7296,,82.20201,482857.37890625,4160.37658369239,
16331,9,3,904,,79.8397,543159.58203125,2915.9869096184,
16332,14,2,7309,,73.87812,437774.42578125,2801.11829143785,
16333,14,2,7332,,64.52981,382207.25390625,2773.88209401994,
16334,14,2,7333,,54.21861,321408.25,3082.74272300374,
16335,14,2,7334,,47.45738,281719.19140625,3215.79197382606,
16336,14,2,7297,,46.07373,272948.9765625,2616.79915669825,
16337,9,3,904,,44.80582,260206.09375,2212.85482984876,
16338,9,3,904,,44.15379,253841.5546875,1986.33936683894,
16339,14,2,7294,,39.92988,238619.25390625,2367.27418257775,
16340,14,2,7335,,36.37263,215827.31640625,2396.74132785737,
16341,9,3,904,,34.77554,201361.078125,1964.90281331454,
16342,5,3,7279,,27.27664,199225.203125,2212.6867036578,
16343,14,2,7336,,25.93455,153571.65234375,2148.43607116211,
16344,1,3,7291,,24.32194,177626.7734375,1612.80341406117,
16345,1,3,7337,6.0,23.14563,150678.7578125,1538.24046405987,1.0
16346,14,3,904,,22.64782,134497.48828125,1380.95916147789,
16347,1,4,7338,8.0,21.57896,135544.7734375,1942.7954585212,2.0
